,,,,,,,,,
Planetary Systems (PS),,Planetary Systems Composite Parameters (PSCP),,Confirmed Planets (retiring),,Composite Parameters (retiring),,Extended Parameters (retiring),
Database Column Name,Table Label or Comment,Database Column Name,Table Label or Comment,Database Column Name,Table Label or Comment,Database Column Name,Table Label or Comment,Column Name,Table Label or Comment
 pl_name,Planet Name, pl_name,Planet Name,pl_name,Planet Name,fpl_name,Planet Name,mpl_name,Planet Name
 hostname,Host Name, hostname,Host Name,pl_hostname,Host Name,fpl_hostname,Host Name,mpl_hostname,Host Name
 pl_letter,Planet Letter, pl_letter,Planet Letter,pl_letter,Planet Letter,fpl_letter,Planet Letter,mpl_letter,Planet Letter
 hd_name,HD ID, hd_name,HD ID,hd_name,HD ID,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,hd_name,HD ID
 hip_name,HIP ID, hip_name,HIP ID,hip_name,HIP ID,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,hip_name,HIP ID
 tic_id,TIC ID, tic_id,TIC ID,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 gaia_id,GAIA ID, gaia_id,GAIA ID,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 default_flag,Default Parameter Set,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,mpl_def,Default Parameter Set
 sy_snum,Number of Stars, sy_snum,Number of Stars,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,fpl_snum,Number of Stars,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 sy_pnum,Number of Planets, sy_pnum,Number of Planets,pl_pnum,Number of Planets,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,mpl_pnum,Number of Planets
 sy_mnum,Number of Moons, sy_mnum,Number of Moons,pl_mnum,Number of Moons,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,mpl_mnum,Number of Moons
 cb_flag,Circumbinary Flag, cb_flag,Circumbinary Flag,pl_cbflag,Circumbinary Flag,fpl_cbflag,Circumbinary Flag,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
